deal_slug,deal_title,merchant,brand_name,headline,category,short_description,description,source,source_file,voucher_url,card_image,banner_image,brand_logo,scraped_discount_percent,discount_percent,raw_offer_text,threshold,token_amount,coupon_prefix,enabled,featured,sort_order,voucher_value,flat_discount_amount,final_payable_after_unlock,original_price,how_to_use,terms_and_conditions
abraham-and-thakore-luxe-private-unlock,Abraham & Thakore- Luxe Private Unlock,Abraham & Thakore- Luxe,Abraham & Thakore- Luxe,Abraham & Thakore- Luxe Private Unlock,Fashion,"Start a private unlock for Abraham & Thakore- Luxe, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Abraham & Thakore- Luxe, invite your circle, and claim the voucher once your room hits the target.",gyftr,gyftr_fashion.csv,https://www.gyftr.com/abraham-and-thakore,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_abraham-%26-thakore1759920771.png&w=384&q=75,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_abraham-%26-thakore1759920771.png&w=384&q=75,,,40,,3,99,ABRAHAMTHAKO,true,false,1,500,200,300,500,Follow these steps to get your Abraham & Thakore Luxe Gift Card | The attendant will deduct the voucher value from your bill.,Multiple Gift Vouchers CAN be used in one bill. | This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. | Gift Vouchers CANNOT be used during Sale. | Gift Vouchers are ACCEPTED at all listed Outlets. | EGV is ONE time use.
absolute-barbecues-private-unlock,Absolute Barbecues Private Unlock,Absolute Barbecues,Absolute Barbecues,Absolute Barbecues Private Unlock,Food,"Start a private unlock for Absolute Barbecues, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Absolute Barbecues, invite your circle, and claim the voucher once your room hits the target.",woohoo,woohoo_food.csv,https://www.woohoo.in/absolute-barbecues-e-gift-instant-voucher,https://b2cstatic.woohoo.in/media/catalog/product/0/1/01_absolute_barbeque-p-3828437.png?appId=12,https://b2cstatic.woohoo.in/media/catalog/product/0/1/01_absolute_barbeque-p-3828437.png?appId=12,https://d1o7uku192uawx.cloudfront.net/prod-woohoo/woohoo/woohoo-card/brands/d610e825-1a00-43ce-b384-e90efacbd9eb.png,8.5,48,8.5% Discount,3,99,ABSOLUTEBARB,true,false,2,500,200,260,500,"Visit the nearest Absolute Barbeques (AB's) restaurant. (Check the store locator https://www.absolutebarbecues.com). | Inform the service team that you would like to pay by using your Gift Card, share the Gift Card number and PIN details. Cashier inputs the card details and submits it for validation. Once the card gets validated, the total invoice value will get reduced with redeemed value of the Gift Card. | Balance amount (if any) is paid using other mode of payment accepted at the outlet. Post clearance of the payment, invoice gets closed.","This is an Absolute Barbecues(AB's) Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted at AB's outlets in India. | The person who has the AB's GV / GC Code is deemed to be the beneficiary. | Do inform the outlet reception that you plan to use the GV / GC for making payments before billing. | The validity period is 365 days from the date of its issuance or depends on the condition of the purchase. | A maximum of 5 GV / GC can be used in one bill. | This is a ONE time use GV / GC. Electronic Gift Vouchers can't be replaced or duplicated, if lost or stolen. | No Credit note / Refund for the unused amount of the GV / GC will be given. | AB's GV / GC CANNOT be revalidated once expired. | This E-Voucher cannot be exchanged for cash. | AB's GV / GC cannot be redeemed on specific block out dates. AB's may add or delete any date on its sole discretion. | Any dispute related to the GV / GC should be referred to the issuing company and the decision of the issuing company shall be final. | AB's makes full efforts to accept Insta Gift Vouchers (GV) / Gift Card (GC), but on account of any technical / administrative reasons an outlet may refuse to accept the same. | If an Insta Gift Voucher (GV) / Gift Card (GC) gets blocked on account of technical issue, it would get enabled in 72 hours. | Please contact outlet manager for any acceptance issue and if issue is still not resolved, you can write to wecare@absolute-barbecue.com | All disputes shall be subject to the exclusive jurisdiction of competent courts of Hyderabad, India. | Absolute Barbecues reserves the right to change the 'Terms & Conditions' at any time without prior information | E-Gift Cards are normally delivered instantly. But sometimes due to system issues, the delivery can be delayed up-to 24 hours. | No returns and no refunds on gift cards, E- gift cards and gift vouchers shipped by woohoo.in. Please check the refund policy at http://www.woohoo.in/faq for further details."
absolute-barbeque-private-unlock,Absolute Barbeque Private Unlock,Absolute Barbeque,Absolute Barbeque,Absolute Barbeque Private Unlock,Ecommerce,"Start a private unlock for Absolute Barbeque, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Absolute Barbeque, invite your circle, and claim the voucher once your room hits the target.",gyftr,gyftr_ecommerce.csv,https://www.gyftr.com/absolute-barbeque,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_logo1762853343.png&w=384&q=75,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_logo1762853343.png&w=384&q=75,,10,50,Savings 10%,3,99,ABSOLUTEBARB,true,false,3,500,200,250,500,"Share the registered mobile number with the cashier, once products are scanned for invoicing by the cashier. . Cashier to inform the available Gift Voucher and its balance. | Customer to confirm the amount to be used for redemption and proceed further for balance payment, if any. | Cashier to proceed with invoicing.",GV/ e-Pay is ACCEPTED at all Listed Outlets. | GV/e-Pay can be clubbed with the existing offers. | Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
adidas-kids-luxe-private-unlock,Adidas Kids-Luxe Private Unlock,Adidas Kids-Luxe,Adidas Kids-Luxe,Adidas Kids-Luxe Private Unlock,Fashion,"Start a private unlock for Adidas Kids-Luxe, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Adidas Kids-Luxe, invite your circle, and claim the voucher once your room hits the target.",gyftr,gyftr_fashion.csv,https://www.gyftr.com/adidas-kids-luxe-gift-card,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_adidas1759919136.png&w=384&q=75,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_adidas1759919136.png&w=384&q=75,,,40,,3,99,ADIDASKIDSLU,true,false,4,500,200,300,500,Follow these steps to get your Adidas Kids Luxe Gift Card | The attendant will deduct the voucher value from your bill.,Multiple Gift Vouchers CAN be used in one bill. | This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. | Gift Vouchers CANNOT be used during Sale. | Gift Vouchers are ACCEPTED at all listed Outlets. | EGV is ONE time use.
aeropostale-private-unlock,Aeropostale Private Unlock,Aeropostale,Aeropostale,Aeropostale Private Unlock,Fashion & Lifestyle,"Start a private unlock for Aeropostale, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Aeropostale, invite your circle, and claim the voucher once your room hits the target.",woohoo,woohoo_fashionandlifestyle.csv,https://www.woohoo.in/aeropostale-bagline-e-gift-instant-voucher,https://b2cstatic.woohoo.in/media/catalog/product/0/1/01_aeropostale_4197631735816300-p-5538253.png?appId=12,https://b2cstatic.woohoo.in/media/catalog/product/0/1/01_aeropostale_4197631735816300-p-5538253.png?appId=12,https://d1o7uku192uawx.cloudfront.net/prod-woohoo/woohoo/woohoo-card/brands/ff589f36-77fd-49c6-9a5f-def2c6379738.png,12,52,12% Discount,3,99,AEROPOSTALE,true,false,5,500,200,240,500,"Purchase the e-gift card. You will receive the e-gift card on your registered email/mobile number. | You can use the unique card number on your online checkout. | The merchandise cost will be deducted from the gift card, in case the merchandise value is more than the e-gift card, the user needs to pay the difference amount.","This Gift card is redeemable Online only at Bagline.com | The E-Gift card is emailed to the recipient within 24 hours of purchase. | Partial Redemption and Clubbing is not allowed. | The E-Gift card doesn’t come in a physical format. In case the value of the merchandise exceeds the value of the e-gift card, the difference shall be paid by the bearer. | No refunds/credit notes shall be issued for unused parts of the E-Gift card. Protect the E-Gift card number to avoid misuse. | Bagline shall not assume any liability in case the E-gift card gets stolen/compromised, Bagline shall neither replace the E-Gift Card nor refund cash. | Bagline reserves the right to alter any / all the terms and conditions of this E-Gift card at any time without prior notice. | E-Gift cards are normally delivered instantly. But sometimes due to system issues, the delivery can be delayed up-to 24 hours. | No returns and no refunds on E-Gift Cards, E-Gift Cards and eGift vouchers shipped by woohoo.in. Please check the refund policy at http://www.woohoo.in/faq for further details."
air-india-private-unlock,Air India Private Unlock,Air India,Air India,Air India Private Unlock,Travel,"Start a private unlock for Air India, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Air India, invite your circle, and claim the voucher once your room hits the target.",woohoo,woohoo_travel.csv,https://www.woohoo.in/air-india-e-gift-card,https://b2cstatic.woohoo.in/media/catalog/product/a/i/air_india_1_-p-6989990.png?appId=12,https://b2cstatic.woohoo.in/media/catalog/product/a/i/air_india_1_-p-6989990.png?appId=12,https://d1o7uku192uawx.cloudfront.net/prod-woohoo/woohoo/woohoo-card/brands/785ffb05-2d69-477a-8b3d-3650c6ada8de.png,4.5,44,4.5% Discount,3,99,AIRINDIA,true,true,6,500,200,280,500,"Select the flights you are interested in on the Air India website or Air India mobile app. | Enter the Gift Card number and pin that you will receive in your email after completing the purchase of a Gift Card. | If the booking amount equals or exceeds the available credit on the Gift Card, the Gift Card will be fully used until it has no remaining value. | If your Gift Card amount is lower than the booking amount, you can make up the difference by paying the additional amount using any credit card accepted by Air India on the Air India website or mobile app. Gift Card cannot be clubbed with any other form of payment if redemption is being done through the Air India Contact Centre.","Air India is the issuer and redeeming entity for Gift Cards. | Gift Cards can be purchased only through the Platform. Gift Cards can be purchased and redeemed only in Indian currency (INR). | Gift Cards are valid for 180 days from the date of activation. | Gift Cards can be purchased using credit card or debit card. | Gift Cards are valid until the date mentioned on the Gift Cards. The validity of a Gift Card cannot be extended under any circumstances. You understand that you will not be compensated in any manner for any lapsed or unused amount under a Gift Card. | Gift Cards can be used to buy Air India tickets and ancillary products on the Air India website and mobile app and cannot be used to avail travel insurance, upgrades or any goods and/or services offered by any third party other than Air India. | Gift Cards are fully transferable but cannot be resold. Any unlawful resale or attempted resale is grounds for seizure and cancellation of the Gift Card without compensation. | Gift Cards cannot be redeemed through any offline channel, such as airport ticketing centre. | Gift Cards cannot be redeemed for group travel. | Gift Cards are for individual use only. If travel agents are found purchasing or using the Gift Card, the booking will be cancelled, and no refund will be issued. | In case of a transaction failure, while making the payment through an Air India Gift Card, the amount will be automatically refunded to the same Gift Card balance within twenty-four (24) hours of failure of such transaction. | A Gift Card can be combined with any offer, such as a discount, cash back, or promotion, offered on Air India’s website, www.airindia.com. | Other modes of payment like credit cards can be used along with the redemption of the Gift Cards but limited to the Air India website and mobile app. | Gift Cards may be valid for both full and partial redemption depending on the Gift Card. Some Gift Cards can be redeemed only once, while others can be redeemed multiple times until the balance goes to zero. In case the value of the purchase exceeds the value of the Gift Card, the difference shall be paid by you. In case of partial redemption, the balance amount remains in the Gift Card until the validity period, which can be used for future transactions. No refunds or credit notes shall be issued for the unused part of the Gift Card. | Multiple Gift Cards (up to a maximum of three (3)) can be combined and used in a single transaction. | A Gift Card, once issued, cannot be refunded, cancelled, or exchanged for cash. | Air India will not be responsible if the Gift Card is used without permission and you are solely responsible for maintaining the confidentiality of all details provided to you in relation to a Gift Card. You understand that we may choose to withdraw, amend, replace, extend, suspend, limit, or cancel any Gift Card at any time at our sole discretion, without any notice and liability to you. | You understand and acknowledge that while Air India issues Gift Cards to you, the issue of Gift Cards shall in no way mean, imply, or denote a promise or commitment for the assured provision of services or products. | To the fullest extent permitted under applicable law, the Gift Card, Platform and other related products, information, materials, and services provided by Air India are provided on an """"as is"""" and “as available” basis. To the fullest extent permitted under applicable law, Air India disclaims all warranties of any kind, express or implied, arising out of the Platform and the use of the Gift Cards, including merchantability, fitness for a particular purpose, title, and noninfringement, and all warranties arising from course of dealing, usage, or trade practice in respect to the same. Without limiting the foregoing, Air India makes no warranty of any kind that the Gift Cards, Platform, or any related products or results of the use thereof, will meet your or any other persons' requirements, operate without interruption, achieve any intended result, be compatible or work with any software, systems, or other services, be secure, accurate, complete, free of harmful code or error-free. | You acknowledge and agree that in the event a Gift Card is non-functional, your sole remedy will be the issuance of another Gift Card, for the value remaining in the non-functional Gift Card. | You agree and acknowledge that neither Air India nor any of its affiliates will be liable for any loss or damage that you or any third-party may suffer or incur which is suffered due to the use of a Gift Card in the event such loss or damage is not attributable to Air India, including but not limited to any loss or damage arising out of or due to: (a) your failure to maintain confidentiality of the details pertaining to a Gift Card or your account with Air India; (b) your failure to provide correct, complete or accurate information or data to avail the Gift Card; (c) your use or inability to use, or availability or unavailability of the Gift Card or the Platform, including any third party services; and (d) the occurrence or existence of any defect, interruption, or delays in the operation or transmission of information to, from, or through the Gift Card or the Platform, communication failure, theft, destruction, or unauthorised access to Air India’s records, programmes, services, servers, or other infrastructure relating to the Gift Card or the Platform. | In case of cancellation of purchase made using the Gift Card within the validity period, the amount deducted from the Gift Card will be reversed to the same Gift Card which was used at the time of making the respective purchase. | In case of cancellations where the Gift Card validity has already expired at the time of initiation of the cancellation process or at the time of processing a refund, no refund will be processed for the amount paid through the expired Gift Card. | In the event an amount is refunded to the Gift Card, users must save the Gift Card number and pin code to utilise this refunded amount under the Gift Card as Air India cannot reissue a new Gift Card number. | Air India reserves the right to modify these Gift Card Terms at its discretion. Such modifications will be updated by Air India on the Platform. | Air India reserves the right to deactivate, suspend, hold for review, cancel any Gift Card, or refuse to accept any Gift Card if it suspects that there is a duplicity of cards, the Gift Card was procured using fraudulent means, for any other violation of the Gift Card Terms or if so considered necessary by Air India in its sole discretion. | You shall indemnify, defend and hold Air India, its affiliates, and their officers, associates, successors, assigns, licensors, employees, directors, agents, and representatives, harmless from and against any direct or indirect losses, actions, damages, penalties, cost and expenses, claim, demand, lawsuits, a judicial proceeding, (including, without limitation, from all damages, liabilities, settlements, costs, and attorney's fees) arising from or relating to: any act, commission or omission, error, misrepresentation, misconduct, negligence, fraud, forgery, dishonesty, violation attributable to you and/or your personnel/agents/representatives, or any third party who may use your account, your access to the Platform and use of the Gift Cards, and your use of the Platform and the Gift Cards in violation of these Gift Card Terms. | contravention of any applicable law; and any claim from any authority or any third party as a result of any action or inaction on your part, including but not limited to a breach of these Gift Card Terms or any acts committed beyond the scope of these Gift Card Terms. | Notwithstanding anything to the contrary contained herein, neither Air India nor any of its affiliates or related parties shall have any liability to you or any third party for any indirect, incidental, special, or consequential damages or any loss of revenue or profits arising under, directly or indirectly, or relating, in any manner whatsoever, to these Gift Card Terms, including any action taken by any authority. | Notwithstanding any provision to the contrary, Air India’s maximum aggregate liability to you under the Gift Card Terms or otherwise for any loss in connection with the Platform or the Gift Card shall be limited to the value of the Gift Card. | These Gift Card Terms shall be construed by and governed in accordance with the laws of India, and the courts of Delhi shall have exclusive jurisdiction to settle any dispute or claim arising out of or in connection with them. | Any dispute or claim arising out of or in connection with or relating to these Gift Card Terms or their breach, termination, or invalidity hereof shall be referred to and finally resolved by arbitration in Delhi in accordance with the Arbitration and Conciliation Act, 1996 for the time being in force, which rules are deemed to be incorporated by reference in this paragraph. | Within thirty (30) days of the issue of a notice of dispute, Air India and you shall mutually agree on the appointment of a sole arbitrator. If such mutual agreement is not arrived at within the aforesaid thirty (30) days period, Air India and you shall appoint such sole arbitrator in accordance with the Arbitration and Conciliation Act, 1996. | The seat of arbitration shall be Delhi and the arbitration proceedings shall be conducted in the English language. | Air India/You agree to keep the arbitration confidential and not disclose to any person, other than those necessary to the proceedings, any information, transcripts, or awards unless required by applicable law. The decision of the arbitrator shall be final and binding on us/you hereto. | Air India/You hereto agree that our/your consent for the resolution of the dispute through arbitration shall not preclude or restrain you/us from seeking suitable injunctive relief in appropriate circumstances from courts in Delhi. | The cost of arbitration shall be borne in a manner by us/you as determined by the arbitrators. In the meantime, Air India/you shall bear Air India’s/your own cost for the arbitration which shall be reimbursed as per the directions in the arbitral award. | Notwithstanding any provision to the contrary, nothing in these Gift Card Terms shall preclude any of your rights under applicable laws. | If you have any questions or complaints with regard to the Gift Card being offered or the Gift Card Terms, you may contact our call centre at 0116 932 9333, 0116 932 9999, 1860 233 1407. | E-Gift Cards are normally delivered instantly. But sometimes due to system issues, the delivery can be delayed up-to 24 - 48 hours. | No returns and no refunds on gift cards, e-gift cards and gift vouchers shipped by woohoo.in. Please check the refund policy at http://www.woohoo.in/faq for further details"
ajio-private-unlock,AJIO Private Unlock,AJIO,AJIO,AJIO Private Unlock,Fashion & Lifestyle,"Start a private unlock for AJIO, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for AJIO, invite your circle, and claim the voucher once your room hits the target.",woohoo,woohoo_fashionandlifestyle.csv,https://www.woohoo.in/ajio-top-up-e-gift-card,https://b2cstatic.woohoo.in/media/catalog/product/0/1/01_ajio-p-4683413.png?appId=12,https://b2cstatic.woohoo.in/media/catalog/product/0/1/01_ajio-p-4683413.png?appId=12,https://d1o7uku192uawx.cloudfront.net/prod-woohoo/woohoo/woohoo-card/brands/e8443902-87e3-4379-902a-fbcfa88b9111.png,8,48,8% Extra,3,99,AJIO,true,true,7,500,200,260,500,Click on the Add to AJIO Wallet button. | Enter the 16-digit Gift Card number. Enter the 6-digit pin. | The Gift Card amount will be added to your AJIO Wallet. You can use this amount to pay for your orders within 1 year of redemption.,"This Ajio E- Gift Card ("" E-Gift Card "") is powered by Pine Labs Private Limited ("" Pine Labs "") a private limited company with its registered office at Delhi incorporated under the laws of India. The E-Gift Cards are issued for the purpose of used on the AJIO desktop website/mobile website/ mobile application ("" AJIO Portal "") by the customers of the AJIO Portal. | The Holders ( defined hereunder ) agree that usage of the E-Gift Card is a voluntary exercise and they are not bound to accept any terms or conditions herein, unless they use or redeem the E-Gift Card. | The E-Gift Card: cannot be used to purchase other gift cards. | cannot be redeemed for Cash or Credit and cannot be reloaded. | cannot be redeemed on the purchase of fine jewellery, silver and gold coins. | This E-Gift Card is redeemable only on the AJIO Portal. | The E-Gift Card once issued is valid for a total period of 12 months only from the date of issue | For the redemption of the E-Gift Card, every holder of E-Gift Card ("" Holder "") shall be required to add the value stored on such E-Gift Card into the AJIO wallet account as AJIO Cash. The value of the gift card value to the AJIO Wallet account (AJIO Cash) is not transferable to any other account or to any bank account. | The loading of the E-Gift Card onto the user's AJIO Wallet account shall constitute registration of the user on the AJIO Portal. | Once the E-Gift card is stored in the AJIO Wallet as AJIO cash it will have a total validity of 365 days for redemption on AJIO purchases | If the value of the products ordered ("" Order Value "") is less than the total amount of the E-Gift Card, the outstanding balance (after deduction of order value) will reflect as AJIO cash in the AJIO Wallet account and can be used for subsequent transactions. | If the event that the Order Value exceeds the E-Gift Card amount, the balance must be paid by the Holder. The Holder acknowledges and agrees to pay any balance amount of the cost of the item being purchased, after the discount has been availed | All taxes, duties, levies or other statutory dues and charges payable in connection with the benefits accruing for the E-Gift Card, shall be borne solely by the Holder. | The Holder is solely responsible for the safety and security of the E -Gift Cards. AJIO Portal is not responsible for any acts of omission or commission if E-Gift Card is lost, stolen or used without permission. | All orders placed using the E-Gift Card are subject to availability of the products at the time of purchase and will be governed by the standard terms and conditions on the AJIO Portal. In case of return of the purchased item, please refer to the ""Return Policy"" on our website or contact AJIO customer care ( https://www.ajio.com/selfcare ). | AJIO Portal assumes no responsibility for the products purchased using the E-Gift Card and any liability thereof is expressly disclaimed. Product warranty shall be regulated by the terms and conditions mentioned on the warranty card of respective products. | E-gift Voucher will not be applicable on H&M branded products. | There will be no extension of the E-Gift Card post the expiry of the validity date | The AJIO Portal reserves the unconditional right to cancel the E-Gift Card in the event the Holder breaches these terms of use of the E-Gift Card, and the terms and conditions of the AJIO Portal. In such cases, the funds shall be credited back to the same source from where these were received after proper investigation | AJIO Portal reserves the right to change the terms and conditions of the E-Gift Card, including extending, withdrawing or discontinuing the same, at its sole discretion. | AJIO will not be liable for any loss (including, without limitation, direct, indirect, special or consequential loss or loss of profits) expense or damage which is suffered or sustained in connection with E-Gift Card including any loss incurred as a result of any delay and/or failure to perform any obligation to the Holder that is caused by: technical problems of any kind which may limit or prevent any person's from redeeming the E-Gift Card | any loss or damage arising from or in connection with the allocation or enjoyment of discount; | any misuse of the E-Gift Card due to loss of any such confidential details. | any other events beyond the AJIO Portal's control that may cause the promotion to be disrupted or corrupted or may lead to loss of, or damage to, the Holder. | The Holder hereby agrees to indemnify and keep the AJIO Portal harmless against all damages, liabilities, costs, expenses, claims, suits and proceedings that may be suffered by the AJIO Portal as a consequence of (i) violation of the terms and conditions by the Holder; (ii) violation of applicable laws; (iii) any action or inaction resulting in wilful misconduct or negligence on the User's part. | User agrees that, these terms shall be governed by and construed in accordance with the laws of India and the courts at Mumbai, Maharashtra shall have exclusive jurisdiction to decide over any controversy arising out of this E-Gift Card | For dispute and liability with respect to the E-Gift Card, please refer the customer grievance policy for dispute resolution, unauthorized transactions and liability related aspects at support@woohoo.in | AJIO Portal may include links to third-party websites. In case any User of AJIO Portal is redirected to any third party website, User acknowledges that Reliance Retail Limited does not control such third-party website and assumes no responsibility for the content of such third-party website and any liabilities thereof is wholly disclaimed. Any information provided by User on such third-party website shall be governed by such third-party website Terms of Use and Privacy Policy. User access to or any other act on such third party website shall be entirely at User's sole risk and responsibilities."
ajio-luxe-private-unlock,Ajio Luxe Private Unlock,Ajio Luxe,Ajio Luxe,Ajio Luxe Private Unlock,Ecommerce,"Start a private unlock for Ajio Luxe, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Ajio Luxe, invite your circle, and claim the voucher once your room hits the target.",gyftr,gyftr_ecommerce.csv,https://www.gyftr.com/ajio-luxe,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_ajio-luxe1756974624.png&w=384&q=75,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2Flogo_ajio-luxe1756974624.png&w=384&q=75,,3,43,Savings 3%,3,99,AJIOLUXE,true,false,8,500,200,285,500,"Step 1: To add AJIO Gift Cards to your wallet, log in to your AJIO account through the app or site. Step 2 : Go to your AJIO wallet section, select ""have a Gift Card"", and then enter the 16-digit Gift Card number and PIN accurately. Step 3 : Click ""Add to AJIO Wallet"" and the value of the Gift Card is reflected immediately. This balance can be used to buy a wide range of fashion and lifestyle products. If the wallet balance is insufficient, you can pay the difference using other does of payment. Make sure to check the expiry of your AJIO Gift Card for a smoother redemption.",Gift Voucher/Gift Card (GV/GC) can be used online on the Mobile App and the Website. | This is a one-time use GV/GC. | This GV/GC is non-refundable. | The GV/GC CANNOT be used to buy other Gift Cards on AJIO Luxe.
aldo-private-unlock,ALDO Private Unlock,ALDO,ALDO,ALDO Private Unlock,Fashion,"Start a private unlock for ALDO, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for ALDO, invite your circle, and claim the voucher once your room hits the target.",gyftr,gyftr_fashion.csv,https://www.gyftr.com/aldo,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2F66551.png&w=384&q=75,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2F66551.png&w=384&q=75,,10,50,Savings 10%,3,99,ALDO,true,false,9,500,200,250,500,In-Store Redemption: Step 1: Visit any participating Aldo store. Step 2: Select your products and proceed to the billing counter. Step 3: Inform the cashier that you want to pay using a Gift Card. Step 4: Share your Gift Card number and PIN. The applicable amount will be deducted from your total bill. Note: Aldo Gift Cards are valid for in-store use only. Ensure the Gift Card is valid and active before redemption. Redemption is subject to Aldo's prevailing terms and conditions.,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. | Gift Voucher/ e-Pay CANNOT be used Online. | Gift Voucher/e-Pay CAN be used during the Sale. | Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
aliste-private-unlock,Aliste Private Unlock,Aliste,Aliste,Aliste Private Unlock,Electronics,"Start a private unlock for Aliste, invite your circle, and claim the voucher once your room hits the target.","Start a private unlock for Aliste, invite your circle, and claim the voucher once your room hits the target.",gyftr,gyftr_electronics.csv,https://www.gyftr.com/aliste,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2F6634.png&w=384&q=75,https://www.gyftr.com/_next/image?url=https%3A%2F%2Fcdn2.gyftr.com%2Fgyftrweb%2Fbrands%2F6634.png&w=384&q=75,,,40,,3,99,ALISTE,true,false,10,500,200,300,500,"To redeem your Aliste voucher, follow these steps",The Gift Voucher/Gift Card (GV/GC) would only be accepted on the official website/app. | Only One GV/GC can be used in one bill. | GV/GC CAN be clubbed with offers. | This is a one-time use GV/GC with an expiration date.
